Name,Formula
Bario-orthojoaquinite,Ba4Fe2+2Ti2O2(SiO3)8·H2O
Barioperovskite,BaTiO3
Bariopharmacoalumite,Ba0.5Al4[(AsO4)3(OH)4]·4H2O
Bariopharmacosiderite,Ba0.5Fe3+4(AsO4)3(OH)4·5H2O
Bariosincosite,Ba(VO)2(PO4)2·4H2O
Barkovite,Ni1.5Sn
Barlowite,Cu4BrF(OH)6
Barnesite,Na2V5+6O16·3H2O
Barquillite,"Cu2(Cd,Fe)GeS4"
Barrerite,Na2(Si7Al2)O18·6H2O
Barringerite,"(Fe,Ni)2P"
Barroisite,☐(NaCa)(Mg3Al2)(Si7Al)O22(OH)2
Barronite,(☐0.5Ba0.5)(UO2)2Si5O12(OH)·2H2O
Barrotite,Cu9Al(HSiO4)2[(SO4)(HAsO4)0.5](OH)12·8H2O
Barrydawsonite-(Y),Na1.5Y0.5CaSi3O9H
Barstowite,Pb4(CO3)Cl6(H2O)
Bartelkeite,PbFe2+Ge(Ge2O7)(OH)2(H2O)
Bartonite,K6Fe20S26S
Barwoodite,"Mn2+6(Nb5+,☐)2(SiO4)2(O,OH)6"
Barylite,BaBe2Si2O7
Barysilite,Pb8Mn(Si2O7)3
Baryte,Ba(SO4)
Barytocalcite,BaCa(CO3)2
Barytolamprophyllite,(BaK)Ti2Na3Ti(Si2O7)2O2(OH)2
Bassanite,Ca(SO4)·0.5H2O
Bassetite,Fe2+(UO2)2(PO4)2(H2O)10
Bassoite,SrV4+3O7(H2O)4
Bastnäsite-(Ce),Ce(CO3)F
Bastnäsite-(La),La(CO3)F
Bastnäsite-(Nd),Nd(CO3)F
Bastnäsite-(Y),Y(CO3)F
Batagayite,"CaZn2(Zn,Cu)6(PO4)4[PO3(OH)]3(H2O)9·3H2O"
Batievaite-(Y),Ca2Y2[(H2O)2☐]Ti(Si2O7)2(OH)2(H2O)2
Batiferrite,Ba[Ti2Fe3+8Fe2+2]O19
Batisite,Na2BaTi2O2(Si2O6)2
Batisivite,"BaTi6(V,Cr)8(Si2O7)O22"
Batoniite,Al8(SO4)5(OH)14(H2O)18·5H2O
Baumhauerite,Pb12As16S36
